part,x_mm,original_area_mm2,original_Iy_mm4,original_Iz_mm4,original_Zy_mm3,original_Zz_mm3,candidate_area_mm2,candidate_Iy_mm4,candidate_Iz_mm4,candidate_Zy_mm3,candidate_Zz_mm3
Upper_arm_SO101,22.5,1067.6777187724324,477428.1781681083,48043.72513074611,15060.825572555073,4003.643229150472,511.36905900938325,227536.6590701106,41368.02121358659,7177.812352969787,3447.3341451778606
Upper_arm_SO101,23.5,1046.5530584545077,475608.3257953095,47029.78923229681,15003.41685659866,3919.148618294222,500.80715224045997,226523.93842916517,40480.83835772572,7145.865206365037,3373.4023251751532
Upper_arm_SO101,24.5,1025.428305572913,473612.75144188426,46015.843679280835,14940.464858974323,3834.653193395158,490.2451529078654,225418.80818358064,39593.64584729803,7111.002928704161,3299.469683609658
Upper_arm_SO101,25.5,1004.3034601276468,471433.26949293196,45001.88847126867,14871.711358410039,3750.156954452682,479.6830610116001,224217.17474981342,38706.44368187396,7073.096384879112,3225.5362204837793
Upper_arm_SO101,26.5,983.1785221187098,469061.694146292,43987.923607827746,14796.898127730632,3665.6599014689514,469.12087655166545,222914.94435706025,37819.23186102124,7032.016433878726,3151.6019358030876
Upper_arm_SO101,27.5,962.0534915461019,466489.83941254264,42973.949088523455,14715.76693385779,3581.1620344492735,458.5585995280579,221508.02304725422,36932.01038430503,6987.633928788584,3077.666829576712
Upper_arm_SO101,28.5,940.9283684098237,463709.5191150011,41959.96491291851,14628.059537809984,3496.663353402441,447.99622994078163,219992.31667507073,36044.779251287924,6939.819716791204,3003.730901817802
Upper_arm_SO101,29.5,919.8031527098753,460712.5468897238,40945.97108057284,14533.517694702547,3412.1638583411445,437.4337677898334,218363.73090792162,35157.538461530145,6888.4446391658785,2929.7941525440315
Upper_arm_SO101,30.5,898.6778444462553,457490.73618550575,39931.96759104404,14431.883153747618,3327.663549282491,426.8712130752144,216618.17122595911,34270.28801458906,6833.379531288769,2855.8565817781687
Upper_arm_SO101,31.5,877.5524436189658,454035.900263882,38917.95444388715,14322.897658254193,3243.1624262485475,416.30856579692613,214751.54292207523,33383.02791001978,6774.495222632913,2781.9181895487804
Upper_arm_SO101,32.5,856.4269502280047,450339.85219912545,37903.93163865448,14206.302945628098,3158.6604892669593,405.74582595496673,212759.7511018991,32495.75814737464,6711.6625367681145,2707.97897589098
Upper_arm_SO101,33.5,835.3013642733733,446394.40487824933,36889.89917489604,14081.84074737199,3074.1577383717226,395.1829935493354,210638.70068379998,31608.478726203408,6644.752291361091,2634.0389408473475
Upper_arm_SO101,34.5,814.1756857550712,442191.37100100506,35875.857052159,13949.252789085363,2989.6541736039894,441.02006858003404,250859.11267877874,31397.989646054542,7075.733602028412,2616.49819886861
Upper_arm_SO101,35.5,793.0499146730983,437722.5630798835,34861.805269988254,13808.280790464562,2905.149795013094,430.4570510470627,248314.79047288466,30510.69090647081,6985.8195866295,2542.5565369076467
Upper_arm_SO101,36.5,771.9240510274541,432979.7934401141,33847.74382792594,13658.666465302731,2820.6446026576637,419.89394095042076,245621.25078550488,29623.3825069952,6891.286995969154,2468.6140563745503
Upper_arm_SO101,37.5,750.7980948181416,427954.87421966734,32833.67272551182,13500.15152148997,2736.138596606993,409.3307382901072,242773.80369098386,28736.064447167322,6792.010698917661,2394.670757540915
Upper_arm_SO101,38.5,729.6720460451558,422639.61736924935,31819.591962282633,13332.477661013087,2651.6317769425514,398.76744306612335,239767.6961157398,27848.736726524163,6687.86594070755,2320.726640710906
Upper_arm_SO101,39.5,742.8351695766578,454091.40920303104,31428.273322990062,13337.204289023111,2618.633432588148,422.4930323019903,263837.9171240086,27584.167718837612,6879.99333058379,2298.079581360776
Upper_arm_SO101,40.5,722.1397875516097,448469.9495742325,30434.96177461403,13194.539991885558,2535.8241362091535,412.3606827831047,260487.96089175923,26717.60989318051,6759.698513313117,2225.8177419812055
Upper_arm_SO101,41.5,711.6295267335497,445497.35015082255,30059.345608350195,13116.260168450268,2504.478491377087,408.0294992966669,259035.44352402881,26416.1412458482,6709.375759553201,2200.62937975641
Upper_arm_SO101,42.5,711.6294401562518,445497.18749732594,30059.341297690713,13116.254638593862,2504.435274174002,408.02938427789377,259035.27523593127,26416.134688825223,6709.372089409337,2200.5630648603646
Upper_arm_SO101,43.5,711.6292341113426,445496.97357242514,30059.32640646877,13116.247540288754,2504.391142772866,408.0291588371832,259035.05908144475,26416.118068037948,6709.366861691657,2200.495895179234
Upper_arm_SO101,44.5,711.628902599165,445496.70326807466,30059.30049320041,13116.238628086958,2504.346045211047,409.34550612925676,259928.6350157469,26463.286780485432,6739.451840808033,2204.362146190401
Upper_arm_SO101,45.5,711.6284456197193,445496.3766905442,30059.263538202882,13116.227906077276,2504.299979473429,419.7190694103972,266926.7919774431,26820.921864169395,6975.980357436817,2234.1106426986635
Upper_arm_SO101,46.5,711.6278398893805,445495.97201596753,30059.21426675198,13116.21434489841,2504.252788827818,441.97363396374124,281696.8480207171,27506.511552177886,7480.271330448084,2291.2049254369954
